Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Increased_Cost_Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,250.02,3000.24,USD,Number of NAT Gateways (2)
Increased_Cost_Estimate,US East (N. Virginia),S3 Standard,0,484.54,5814.48,USD,S3 Standard storage (20 TB per month)
Increased_Cost_Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD,"Inbound (from: Internet) 100 TB per month 
 Outbound (to: Amazon Cloud Front) 150 TB per month"
Increased_Cost_Estimate,US East (N. Virginia),Amazon Elastic IP,0,219,2628.00,USD,"Number of EC2 instances (20), Number of EIPs per instance (2)"
Increased_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,1137.92,13655.04,USD,"Operating system (Linux), Quantity (20), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (20 GB), Instance type (t3a.large)"
Increased_Cost_Estimate,US East (N. Virginia),Elastic Load Balancing,0,324.85,3898.20,USD,Number of Application Load Balancers (2)
Increased_Cost_Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,3082.8800000000000,36994.56,USD,"Quantity (4), Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (480 GB), Additional backup storage (480 GB), Provisioning IOPS (2000)"
Increased_Cost_Estimate,US East (N. Virginia),Amazon CloudWatch,0,150,1800.00,USD,
Increased_Cost_Estimate,US East (N. Virginia),Amazon Route 53,0,683.5,8202.00,USD,"Hosted Zones (2), Number of Elastic Network Interfaces (2)"
Increased_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,2938,35256.00,USD,"Operating system (Linux), Quantity (20), Storage for each EC2 instance (Throughput Optimized HDD (st1)), Storage amount (20 GB), Instance type (m4.xlarge)"
Increased_Cost_Estimate,US East (N. Virginia),S3 One Zone - Infrequent Access,0,410.1,4921.20,USD,S3 One Zone-IA storage (40 TB per month)
Increased_Cost_Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD,"Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Amazon Cloud Front) 200 TB per month"
Increased_Cost_Estimate,US East (N. Virginia),S3 Glacier,0,204.8,2457.60,USD,S3 Glacier storage (40 TB per month)
Increased_Cost_Estimate,US West (N. California),Amazon Virtual Private Cloud (VPC),0,266.68,3200.16,USD,Number of NAT Gateways (2)
Increased_Cost_Estimate,US West (N. California),Amazon Virtual Private Cloud (VPC),0,266.68,3200.16,USD,Number of NAT Gateways (2)
Increased_Cost_Estimate,US West (N. California),Amazon Elastic IP,0,219,2628.00,USD,"Number of EC2 instances (20), Number of EIPs per instance (2)"
Increased_Cost_Estimate,US West (N. California),Elastic Load Balancing,0,328.79,3945.48,USD,Number of Application Load Balancers (2)
Increased_Cost_Estimate,US West (N. California),Amazon EC2,0,3438,41256.00,USD,"Operating system (Linux), Quantity (20), Storage for each EC2 instance (Throughput Optimized HDD (st1)), Storage amount (20 GB), Instance type (m4.xlarge)"
Increased_Cost_Estimate,US West (N. California),Amazon EC2,0,1351.78,16221.36,USD,"Operating system (Linux), Quantity (20), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (20 GB), Instance type (t3a.large)"
Increased_Cost_Estimate,US West (N. California),Amazon Route 53,0,501,6012.00,USD,Hosted Zones (2)
Increased_Cost_Estimate,US West (N. California),Amazon RDS for MySQL,0,3468.16,41617.92,USD,"Quantity (4), Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (480 GB), Provisioning IOPS (2000), Additional backup storage (480 GB)"
,,,,,,,
,,,,,,,
,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
